Тип;Наименование;Код;_id;Наименование Родителя;_id Родителя
Тема;01;;54942bf781990003f3000001;;
Тема;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;34;543685ff3058000673000001;;
Подтема;Борьба с преступными проявлениями против общественного порядка и общественной безопасности;5;543686003058000677000001;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;543685ff3058000673000001
Подтема;Борьба с экстремизмом, разжиганием межнациональной, межконфессиональной розни и вражды;6;543686003058000678000001;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;543685ff3058000673000001
Подтема;Борьба с преступными проявлениями в сфере экономики;2;543686003058000675000001;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;543685ff3058000673000001
Подтема;Борьба с преступными проявлениями коррупционной направленности;3;543686003058000676000001;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;543685ff3058000673000001
Подтема;Борьба с преступными проявлениями против личности;1;543686003058000674000001;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;543685ff3058000673000001
Подтема;01;;54942c078199000404000001;01;54942bf781990003f3000001
Подтема;01;;54942c310f1000042e000001;12;549438669b0d000436000001
Подтема;Борьба с организованной преступностью;4;543686003058000679000001;Вопросы борьбы с преступностью, находящиеся в компетенции органов внутренних дел;543685ff3058000673000001
Уточнение подтемы;01;;54942c460f10000441000001;2()2;5494386c4cf9000441000001
Уточнение подтемы;01;;54942c128199000411000001;01;54942c078199000404000001
